"number","location","weeknr","month","CountT","CountS"
85560,"A",-10,"mrt",4.64612803567824,6.80792370361188
54597,"A",-12,"apr",3.80102999566398,6.78080592839367
10395,"A",-11,"apr",3.97712125471966,6.55842602445701
85562,"A",-11,"apr",3.34509804001426,5.29239168949825
10375,"A",-12,"apr",5.25966784468963,7.43691568094525
10377,"A",-11,"apr",4.13346845557959,6.52530586526477
10227,"A",-11,"mrt",3.61394335230684,6.31358098856819
85554,"A",-11,"apr",4.0910646070265,6.93711609304808
85781,"A",-11,"apr",3.40308998699194,6.60890312766731
10434,"A",-11,"apr",3.54139268515823,6.62580645813953
85817,"A",-11,"apr",4.31291335664286,7.07263929704281
10463,"A",-12,"apr",3.19897000433602,5.52530586526477
85744,"A",-11,"apr",2.97712125471966,6.03655844257153
85839,"A",-7,"mrt",4.05630250076729,6.85121634533934
54561,"A",-11,"apr",3.54139268515823,6.68041263283832
10279,"A",-10,"mrt",4.42427928606188,6.71272015441784
10290,"A",-11,"mrt",3.40308998699194,6.32412583391655
10239,"A",-11,"mrt",3.19897000433602,6.68977095634687
10281,"A",-11,"apr",4.19897000433602,6.27305469336426
85845,"A",-7,"mrt",3.82221929473392,6.90602894496361
45231,"A",-11,"apr",4.95024910831936,7.31736701628759
54556,"A",-11,"apr",3.61394335230684,6.99276038902684
10442,"A",-10,"mrt",3.34509804001426,5.93136376415899
10218,"A",-10,"mrt",3.10205999132796,5.41907809237607
10311,"A",-11,"apr",4.34509804001426,7.01174971134498
85564,"A",-11,"apr",4.19897000433602,6.77044590801796
10298,"A",-10,"mrt",4.00514997831991,5.30617997398389
10226,"A",-11,"apr",3.61394335230684,6.00379068305718
10286,"A",-10,"mrt",4.7718416065365,7.04270096944811
10222,"A",-11,"apr",4.03147891704226,6.50945089579869
10251,"A",-11,"mrt",3.93136376415899,6.29588001734407
10223,"A",-11,"apr",4.87839790094814,7.24772246203551
10322,"A",-11,"apr",2.97712125471966,5.74303804868629
60670,"A",-11,"apr",4.11278385671974,6.12428209583567
10323,"A",-11,"apr",2.97712125471966,5.06820172406699
10256,"A",-11,"apr",3.93136376415899,6.3668778143375
85560,"A",-10,"mrt",4.24036268949424,6.55269394192497
54597,"A",-12,"apr",3.89794000867204,6.6914510144649
10395,"A",-11,"apr",4.16275783168157,6.70330491613848
85562,"A",-11,"apr",3.54139268515823,5.46848294855393
10375,"A",-12,"apr",5.18124123737559,7.29629674005179
10377,"A",-11,"apr",4.14345267648619,6.56557971472845
10227,"A",-11,"mrt",4.07978359661681,6.85005409357903
85554,"A",-11,"apr",3.96239799789896,6.8236645356081
85781,"A",-11,"apr",3.10205999132796,6.59061070782841
10434,"A",-11,"apr",3.5,6.31023251799508
85817,"A",-11,"apr",4.20757017609794,7.1028193424327
10463,"A",-12,"apr",3.19897000433602,5.63987908640124
85744,"A",-11,"apr",3.27815125038364,5.85024801833416
85839,"A",-7,"mrt",4.70951501454263,7.25981887737483
54561,"A",-11,"apr",3.5,6.62221587827283
10279,"A",-10,"mrt",4.22427586960079,6.32412583391655
10290,"A",-11,"mrt",3.64612803567824,5.70139712432045
10239,"A",-11,"mrt",3.19897000433602,6.89075852873872
10281,"A",-11,"apr",5.86828688490213,7.47122944727624
85845,"A",-7,"mrt",3.70411998265593,6.69700472802305
45231,"A",-11,"apr",4.81175386105575,7.25503593376777
54556,"A",-11,"apr",3.34509804001426,6.83142729652074
10442,"A",-10,"mrt",3.40308998699194,6.23399928653839
10218,"A",-10,"mrt",2.80102999566398,6.17851837904011
10311,"A",-11,"apr",3.84242268082221,6.77966694404846
85564,"A",-11,"apr",3.61394335230684,6.07634135020579
10298,"A",-10,"mrt",3.10205999132796,5.28532983501077
10226,"A",-11,"apr",3.54139268515823,6.63576851456782
10286,"A",-10,"mrt",6.09328606702046,7.47122944727624
10222,"A",-11,"apr",4.72788670461367,7.00487845941022
10251,"A",-11,"mrt",3.93136376415899,6.19019608002851
10223,"A",-11,"apr",4.38649072517248,6.95178643552429
10322,"A",-11,"apr",3.61394335230684,6.64860265480609
60670,"A",-11,"apr",4.57188200730613,6.41592721169712
10323,"A",-11,"apr",3.67609125905568,5.06820172406699
10256,"A",-11,"apr",3.77875360095283,6.05750720190566
84227,"B",-6,"feb",4.00514997831991,6.76078666865498
84451,"B",-5,"feb",4.20757017609794,6.67522180034305
84500,"B",-1,"jan",5.9474842983991,7.5
84690,"B",-6,"feb",2.80102999566398,5.69033169817029
84676,"B",-2,"feb",5.50775398593822,7.4646367037885
84463,"B",-2,"feb",5.50445796741871,7.32769228867445
84668,"B",-2,"jan",5.22672720902657,7.27764427769648
84581,"B",-2,"feb",5.84678680231684,7.5
84534,"B",-3,"feb",5.46284268120124,7.5
84204,"B",-2,"jan",3.19897000433602,6.50389116623691
84669,"B",-3,"feb",5.18484536164441,7.1699673699085
84541,"B",-2,"feb",5.51870095398628,7.33689351637643
84661,"B",-2,"jan",3.54139268515823,6.89058187855044
84670,"B",-3,"feb",5.41750550955255,7.5
49923,"B",-2,"jan",5.25204844781944,7.38417206952391
49710,"B",-3,"feb",4.98713837547719,7.5
84599,"B",-2,"feb",4.62710479836481,7.33878614494659
49864,"B",-2,"jan",5.78978551505863,7.44973145231571
84463,"B",-1,"feb",5.17942789661212,7.11992771029147
84261,"B",-2,"feb",4.99415459401844,7.05882852481701
49500,"B",-2,"feb",5.50258801437348,7.5
84711,"B",-3,"feb",4.15321251377534,6.83825723024626
49808,"B",-2,"jan",6.16036047349682,7.5
30391,"B",-3,"feb",5.3481891169914,7.5
49953,"B",-1,"jan",4.72010808804005,6.84635297445064
84696,"B",-2,"jan",5.60102778150091,7.28211414747907
49879,"B",-3,"feb",5.7286051905233,7.5
